Scientific,TipLabel,English,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc
Nothoprocta perdicaria,Nothoprocta_perdicaria,Chilean Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Rhynchotus maculicollis,Rhynchotus_maculicollis,Huayco Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Rhynchotus rufescens,Rhynchotus_rufescens,Red-winged Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothocercus bonapartei,Nothocercus_bonapartei,Highland Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothocercus julius,Nothocercus_julius,Tawny-breasted Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothocercus nigrocapillus,Nothocercus_nigrocapillus,Hooded Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothoprocta cinerascens,Nothoprocta_cinerascens,Brushland Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothoprocta curvirostris,Nothoprocta_curvirostris,Curve-billed Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothoprocta pentlandii,Nothoprocta_pentlandii,Andean Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothoprocta taczanowskii,Nothoprocta_taczanowskii,Taczanowski's Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothura boraquira,Nothura_boraquira,White-bellied Nothura,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothura chacoensis,Nothura_chacoensis,Chaco Nothura,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothura darwinii,Nothura_darwinii,Darwin's Nothura,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothura minor,Nothura_minor,Lesser Nothura,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothura maculosa,Nothura_maculosa,Spotted Nothura,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Nothoprocta ornata,Nothoprocta_ornata,Ornate Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Taoniscus nanus,Taoniscus_nanus,Dwarf Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Tinamotis pentlandii,Tinamotis_pentlandii,Puna Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Tinamus guttatus,Tinamus_guttatus,White-throated Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Tinamus major,Tinamus_major,Great Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Tinamus osgoodi,Tinamus_osgoodi,Black Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Tinamus solitarius,Tinamus_solitarius,Solitary Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Tinamus tao,Tinamus_tao,Grey Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Tinamotis ingoufi,Tinamotis_ingoufi,Patagonian Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Crypturellus parvirostris,Crypturellus_parvirostris,Small-billed Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Crypturellus berlepschi,Crypturellus_berlepschi,Berlepsch's Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Crypturellus boucardi,Crypturellus_boucardi,Slaty-breasted Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Crypturellus bartletti,Crypturellus_bartletti,Bartlett's Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Crypturellus atrocapillus,Crypturellus_atrocapillus,Black-capped Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Crypturellus casiquiare,Crypturellus_casiquiare,Barred Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Crypturellus cinereus,Crypturellus_cinereus,Cinereous Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Crypturellus cinnamomeus,Crypturellus_cinnamomeus,Thicket Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Crypturellus duidae,Crypturellus_duidae,Grey-legged Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Crypturellus erythropus,Crypturellus_erythropus,Red-legged Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Crypturellus kerriae,Crypturellus_kerriae,Choco Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Crypturellus obsoletus,Crypturellus_obsoletus,Brown Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Crypturellus brevirostris,Crypturellus_brevirostris,Rusty Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Crypturellus ptaritepui,Crypturellus_ptaritepui,Tepui Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Crypturellus soui,Crypturellus_soui,Little Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Crypturellus undulatus,Crypturellus_undulatus,Undulated Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Crypturellus noctivagus,Crypturellus_noctivagus,Yellow-legged Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Crypturellus strigulosus,Crypturellus_strigulosus,Brazilian Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Crypturellus variegatus,Crypturellus_variegatus,Variegated Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Crypturellus transfasciatus,Crypturellus_transfasciatus,Pale-browed Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Crypturellus tataupa,Crypturellus_tataupa,Tataupa Tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Eudromia elegans,Eudromia_elegans,Elegant Crested-tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Eudromia formosa,Eudromia_formosa,Quebracho Crested-tinamou,BL3,Paleognathae,Tinamidae,Tinamous,1,TINAMIFORMES,NONPASSERIFORMES
Struthio camelus,Struthio_camelus,Ostrich,BL3,Paleognathae,Struthionidae,Ostriches,2,STRUTHIONIFORMES,NONPASSERIFORMES
Rhea americana,Rhea_americana,Greater Rhea,BL3,Paleognathae,Rheidae,Rheas,3,RHEIFORMES,NONPASSERIFORMES
Rhea pennata,Rhea_pennata,Lesser Rhea,BL3,Paleognathae,Rheidae,Rheas,3,RHEIFORMES,NONPASSERIFORMES
Casuarius casuarius,Casuarius_casuarius,Southern Cassowary,BL3,Paleognathae,Casuariidae,Cassowaries,4,CASUARIIFORMES,NONPASSERIFORMES
Casuarius unappendiculatus,Casuarius_unappendiculatus,Northern Cassowary,BL3,Paleognathae,Casuariidae,Cassowaries,4,CASUARIIFORMES,NONPASSERIFORMES
Casuarius bennetti,Casuarius_bennetti,Dwarf Cassowary,BL3,Paleognathae,Casuariidae,Cassowaries,4,CASUARIIFORMES,NONPASSERIFORMES
Dromaius novaehollandiae,Dromaius_novaehollandiae,Emu,BL3,Paleognathae,Dromaiidae,Emus,5,CASUARIIFORMES,NONPASSERIFORMES
Apteryx mantelli,Apteryx_mantelli,Northern Brown Kiwi,BL3,Paleognathae,Apterygidae,Kiwis,6,APTERYGIFORMES,NONPASSERIFORMES
Apteryx haastii,Apteryx_haastii,Great Spotted Kiwi,BL3,Paleognathae,Apterygidae,Kiwis,6,APTERYGIFORMES,NONPASSERIFORMES
Apteryx owenii,Apteryx_owenii,Little Spotted Kiwi,BL3,Paleognathae,Apterygidae,Kiwis,6,APTERYGIFORMES,NONPASSERIFORMES
Apteryx australis,Apteryx_australis,Southern Brown Kiwi,BL3,Paleognathae,Apterygidae,Kiwis,6,APTERYGIFORMES,NONPASSERIFORMES
Talegalla jobiensis,Talegalla_jobiensis,Brown-collared Brush-turkey,BL3,Megapodiidae,Megapodiidae,Megapodes,7,GALLIFORMES,NONPASSERIFORMES
Talegalla fuscirostris,Talegalla_fuscirostris,Black-billed Brush-turkey,BL3,Megapodiidae,Megapodiidae,Megapodes,7,GALLIFORMES,NONPASSERIFORMES
Talegalla cuvieri,Talegalla_cuvieri,Red-billed Brush-turkey,BL3,Megapodiidae,Megapodiidae,Megapodes,7,GALLIFORMES,NONPASSERIFORMES
Aepypodius arfakianus,Aepypodius_arfakianus,Wattled Brush-turkey,BL3,Megapodiidae,Megapodiidae,Megapodes,7,GALLIFORMES,NONPASSERIFORMES
Aepypodius bruijnii,Aepypodius_bruijnii,Bruijn's Brush-turkey,BL3,Megapodiidae,Megapodiidae,Megapodes,7,GALLIFORMES,NONPASSERIFORMES
Alectura lathami,Alectura_lathami,Australian Brush-turkey,BL3,Megapodiidae,Megapodiidae,Megapodes,7,GALLIFORMES,NONPASSERIFORMES
Eulipoa wallacei,Eulipoa_wallacei,Moluccan Megapode,BL3,Megapodiidae,Megapodiidae,Megapodes,7,GALLIFORMES,NONPASSERIFORMES
Megapodius affinis,Megapodius_affinis,New Guinea Megapode,BL3,Megapodiidae,Megapodiidae,Megapodes,7,GALLIFORMES,NONPASSERIFORMES
Megapodius tenimberensis,Megapodius_tenimberensis,Tanimbar Megapode,BL3,Megapodiidae,Megapodiidae,Megapodes,7,GALLIFORMES,NONPASSERIFORMES
Megapodius bernsteinii,Megapodius_bernsteinii,Sula Megapode,BL3,Megapodiidae,Megapodiidae,Megapodes,7,GALLIFORMES,NONPASSERIFORMES
Megapodius cumingii,Megapodius_cumingii,Tabon Megapode,BL3,Megapodiidae,Megapodiidae,Megapodes,7,GALLIFORMES,NONPASSERIFORMES
Megapodius eremita,Megapodius_eremita,Melanesian Megapode,BL3,Megapodiidae,Megapodiidae,Megapodes,7,GALLIFORMES,NONPASSERIFORMES
Megapodius freycinet,Megapodius_freycinet,Dusky Megapode,BL3,Megapodiidae,Megapodiidae,Megapodes,7,GALLIFORMES,NONPASSERIFORMES
Megapodius geelvinkianus,Megapodius_geelvinkianus,Biak Megapode,BL3,Megapodiidae,Megapodiidae,Megapodes,7,GALLIFORMES,NONPASSERIFORMES
Megapodius laperouse,Megapodius_laperouse,Micronesian Megapode,BL3,Megapodiidae,Megapodiidae,Megapodes,7,GALLIFORMES,NONPASSERIFORMES
Macrocephalon maleo,Macrocephalon_maleo,Maleo,BL3,Megapodiidae,Megapodiidae,Megapodes,7,GALLIFORMES,NONPASSERIFORMES
Megapodius nicobariensis,Megapodius_nicobariensis,Nicobar Megapode,BL3,Megapodiidae,Megapodiidae,Megapodes,7,GALLIFORMES,NONPASSERIFORMES
Leipoa ocellata,Leipoa_ocellata,Malleefowl,BL3,Megapodiidae,Megapodiidae,Megapodes,7,GALLIFORMES,NONPASSERIFORMES
Megapodius pritchardii,Megapodius_pritchardii,Polynesian Megapode,BL3,Megapodiidae,Megapodiidae,Megapodes,7,GALLIFORMES,NONPASSERIFORMES
Megapodius reinwardt,Megapodius_reinwardt,Orange-footed Megapode,BL3,Megapodiidae,Megapodiidae,Megapodes,7,GALLIFORMES,NONPASSERIFORMES
Megapodius layardi,Megapodius_layardi,Vanuatu Megapode,BL3,Megapodiidae,Megapodiidae,Megapodes,7,GALLIFORMES,NONPASSERIFORMES
Ortalis ruficauda,Ortalis_ruficauda,Rufous-vented Chachalaca,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Penelope jacquacu,Penelope_jacquacu,Spix's Guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Penelope dabbenei,Penelope_dabbenei,Red-faced Guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Penelope barbata,Penelope_barbata,Bearded Guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Penelope argyrotis,Penelope_argyrotis,Band-tailed Guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Penelope albipennis,Penelope_albipennis,White-winged Guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Pauxi pauxi,Pauxi_pauxi,Helmeted Curassow,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Oreophasis derbianus,Oreophasis_derbianus,Horned Guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Ortalis canicollis,Ortalis_canicollis,Chaco Chachalaca,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Ortalis vetula,Ortalis_vetula,Plain Chachalaca,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Ortalis superciliaris,Ortalis_superciliaris,Buff-browed Chachalaca,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Ortalis erythroptera,Ortalis_erythroptera,Rufous-headed Chachalaca,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Ortalis garrula,Ortalis_garrula,Chestnut-winged Chachalaca,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Nothocrax urumutum,Nothocrax_urumutum,Nocturnal Curassow,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Ortalis guttata,Ortalis_guttata,Speckled Chachalaca,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Ortalis leucogastra,Ortalis_leucogastra,White-bellied Chachalaca,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Penelope jacucaca,Penelope_jacucaca,White-browed Guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Ortalis motmot,Ortalis_motmot,Little Chachalaca,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Pauxi unicornis,Pauxi_unicornis,Horned Curassow,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Ortalis poliocephala,Ortalis_poliocephala,West Mexican Chachalaca,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Ortalis cinereiceps,Ortalis_cinereiceps,Grey-headed Chachalaca,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Penelope purpurascens,Penelope_purpurascens,Crested Guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Pipile cumanensis,Pipile_cumanensis,Blue-throated Piping-guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Pipile cujubi,Pipile_cujubi,Red-throated Piping-guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Pipile pipile,Pipile_pipile,Trinidad Piping-guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Penelope marail,Penelope_marail,Marail Guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Ortalis wagleri,Ortalis_wagleri,Rufous-bellied Chachalaca,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Pipile jacutinga,Pipile_jacutinga,Black-fronted Piping-guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Penelope superciliaris,Penelope_superciliaris,Rusty-margined Guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Mitu mitu,Mitu_mitu,Alagoas Curassow,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Penelope pileata,Penelope_pileata,White-crested Guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Penelope ortoni,Penelope_ortoni,Baudo Guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Penelope montagnii,Penelope_montagnii,Andean Guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Penelope obscura,Penelope_obscura,Dusky-legged Guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Penelope ochrogaster,Penelope_ochrogaster,Chestnut-bellied Guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Penelopina nigra,Penelopina_nigra,Highland Guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Mitu tuberosum,Mitu_tuberosum,Razor-billed Curassow,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Penelope perspicax,Penelope_perspicax,Cauca Guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Mitu tomentosum,Mitu_tomentosum,Crestless Curassow,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Mitu salvini,Mitu_salvini,Salvin's Curassow,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Aburria aburri,Aburria_aburri,Wattled Guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Chamaepetes goudotii,Chamaepetes_goudotii,Sickle-winged Guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Chamaepetes unicolor,Chamaepetes_unicolor,Black Guan,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Crax alberti,Crax_alberti,Blue-billed Curassow,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Crax alector,Crax_alector,Black Curassow,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Crax blumenbachii,Crax_blumenbachii,Red-billed Curassow,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Crax rubra,Crax_rubra,Great Curassow,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Crax fasciolata,Crax_fasciolata,Bare-faced Curassow,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Crax daubentoni,Crax_daubentoni,Yellow-knobbed Curassow,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Crax globulosa,Crax_globulosa,Wattled Curassow,BL3,Cracidae,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES
Numida meleagris,Numida_meleagris,Helmeted Guineafowl,BL3,Numididae,Numididae,Guineafowl,9,GALLIFORMES,NONPASSERIFORMES
Acryllium vulturinum,Acryllium_vulturinum,Vulturine Guineafowl,BL3,Numididae,Numididae,Guineafowl,9,GALLIFORMES,NONPASSERIFORMES
Agelastes niger,Agelastes_niger,Black Guineafowl,BL3,Numididae,Numididae,Guineafowl,9,GALLIFORMES,NONPASSERIFORMES
Agelastes meleagrides,Agelastes_meleagrides,White-breasted Guineafowl,BL3,Numididae,Numididae,Guineafowl,9,GALLIFORMES,NONPASSERIFORMES
Guttera plumifera,Guttera_plumifera,Plumed Guineafowl,BL3,Numididae,Numididae,Guineafowl,9,GALLIFORMES,NONPASSERIFORMES
Guttera pucherani,Guttera_pucherani,Crested Guineafowl,BL3,Numididae,Numididae,Guineafowl,9,GALLIFORMES,NONPASSERIFORMES
Odontophorus stellatus,Odontophorus_stellatus,Starred Wood-quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Oreortyx pictus,Oreortyx_pictus,Mountain Quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Odontophorus strophium,Odontophorus_strophium,Gorgeted Wood-quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Odontophorus melanotis,Odontophorus_melanotis,Black-eared Wood-quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Odontophorus guttatus,Odontophorus_guttatus,Spotted Wood-quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Odontophorus speciosus,Odontophorus_speciosus,Rufous-breasted Wood-quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Philortyx fasciatus,Philortyx_fasciatus,Banded Quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Odontophorus melanonotus,Odontophorus_melanonotus,Dark-backed Wood-quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Odontophorus hyperythrus,Odontophorus_hyperythrus,Chestnut Wood-quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Odontophorus gujanensis,Odontophorus_gujanensis,Marbled Wood-quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Odontophorus erythrops,Odontophorus_erythrops,Rufous-fronted Wood-quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Odontophorus dialeucos,Odontophorus_dialeucos,Tacarcuna Wood-quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Odontophorus balliviani,Odontophorus_balliviani,Stripe-faced Wood-quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Odontophorus columbianus,Odontophorus_columbianus,Venezuelan Wood-quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Odontophorus capueira,Odontophorus_capueira,Spot-winged Wood-quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Odontophorus atrifrons,Odontophorus_atrifrons,Black-fronted Wood-quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Rhynchortyx cinctus,Rhynchortyx_cinctus,Tawny-faced Quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Odontophorus leucolaemus,Odontophorus_leucolaemus,Black-breasted Wood-quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Colinus leucopogon,Colinus_leucopogon,Spot-bellied Bobwhite,IOC27,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Callipepla gambelii,Callipepla_gambelii,Gambel's Quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Callipepla douglasii,Callipepla_douglasii,Elegant Quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Colinus cristatus,Colinus_cristatus,Crested Bobwhite,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Callipepla squamata,Callipepla_squamata,Scaled Quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Colinus nigrogularis,Colinus_nigrogularis,Black-throated Bobwhite,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Cyrtonyx ocellatus,Cyrtonyx_ocellatus,Ocellated Quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Cyrtonyx montezumae,Cyrtonyx_montezumae,Montezuma Quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Colinus virginianus,Colinus_virginianus,Northern Bobwhite,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Callipepla californica,Callipepla_californica,California Quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Dendrortyx barbatus,Dendrortyx_barbatus,Bearded Wood-partridge,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Dendrortyx macroura,Dendrortyx_macroura,Long-tailed Wood-partridge,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Dendrortyx leucophrys,Dendrortyx_leucophrys,Buffy-crowned Wood-partridge,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Dactylortyx thoracicus,Dactylortyx_thoracicus,Singing Quail,BL3,Odontophoridae,Odontophoridae,New World quails,10,GALLIFORMES,NONPASSERIFORMES
Polyplectron bicalcaratum,Polyplectron_bicalcaratum,Grey Peacock-pheasant,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES
Phasianus versicolor,Phasianus_versicolor,Green Pheasant,IOC27,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES
Pavo muticus,Pavo_muticus,Green Peafowl,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES
Pavo cristatus,Pavo_cristatus,Indian Peafowl,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES
Perdicula argoondah,Perdicula_argoondah,Rock Bush-quail,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES
Perdicula asiatica,Perdicula_asiatica,Jungle Bush-quail,BL3,Phasianidae,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES,NONPASSERIFORMES
